Date : 2024-11-27 16:37:31
Directory : c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project
Total : 178 files,  20925 codes, 122 comments, 1228 blanks, all 22275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\landing-page\LandingPage.tsx                            | TypeScript JSX     |        221 |          7 |         18 |        246 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\toast\index.tsx                                               | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\breadcrumb.tsx                                             | TypeScript JSX     |        105 |          0 |         11 |        116 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\button.tsx                                                 | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\card.tsx                                                   | TypeScript JSX     |         75 |          0 |          9 |         84 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\carousel.tsx                                               | TypeScript JSX     |        232 |          0 |         31 |        263 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\ui\dropdown-menu.tsx                                          | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Booking.ts                                                     | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\CarModel.ts                                                    | TypeScript         |      1,437 |          0 |          2 |      1,439 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Cart.ts                                                        | TypeScript         |          7 |          0 |          3 |         10 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Cebuprovinces.ts                                               | TypeScript         |      1,422 |          0 |          2 |      1,424 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Product-types.ts                                               | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Products.ts                                                    | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Service.ts                                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Users.ts                                                       | TypeScript         |         22 |          0 |          4 |         26 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\graphDatas\donutGraph.ts                                   | TypeScript         |         26 |          0 |          4 |         30 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\graphDatas\lineGraph.ts                                    | TypeScript         |         34 |          0 |          2 |         36 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\useFetchData.ts                                            | TypeScript         |         26 |          0 |          6 |         32 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\mailer\useMailer.ts                                                | TypeScript         |         24 |          0 |          4 |         28 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useAuth.ts                                                | TypeScript         |         51 |          0 |         14 |         65 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useBooking.ts                                             | TypeScript         |        182 |          0 |         21 |        203 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useInquiry.ts                                             | TypeScript         |         50 |          0 |          8 |         58 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useInstallers.ts                                          | TypeScript         |        119 |          0 |         15 |        134 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useProducts.ts                                            | TypeScript         |         57 |          0 |         10 |         67 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useSendMail.ts                                            | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useServices.ts                                            | TypeScript         |         83 |          1 |         12 |         96 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\currencyFormatter.ts                                        | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\dateFormatter.ts                                            | TypeScript         |         19 |          3 |          7 |         29 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\encrypter\encrypter.ts                                      | TypeScript         |         13 |          0 |          6 |         19 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\util\auth.ts                                                         | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\util\axios-instance.ts                                               | TypeScript         |         34 |          4 |          9 |         47 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\util\schema\index.ts                                                 | TypeScript         |         48 |          1 |          9 |         58 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\utils.ts                                                             | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\providers\UserProvider.tsx                                               | TypeScript JSX     |         50 |          0 |         13 |         63 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\providers\logoutProvider.tsx                                             | TypeScript JSX     |         30 |          0 |          9 |         39 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\providers\queryProvider.tsx                                              | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\style\emailLayout.css                                                    | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\style\tables.css                                                         | CSS                |         37 |          0 |          8 |         45 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\tailwind.config.ts                                                           | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\tsconfig.json                                                                | JSON with Comments |         26 |          0 |          1 |         27 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\package-lock.json                                                                   | JSON               |        225 |          0 |          1 |        226 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\package.json                                                                        | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\.env                                                                         | Properties         |          7 |          0 |          2 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\config\db-config.js                                                          | JavaScript         |         13 |          0 |          4 |         17 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\auth.controller.js                                                | JavaScript         |         72 |          0 |         13 |         85 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\booking.controller.js                                             | JavaScript         |        152 |          1 |         25 |        178 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\cart.controller.js                                                | JavaScript         |         48 |          1 |          7 |         56 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\inquiries.controller.js                                           | JavaScript         |         25 |          0 |          5 |         30 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\installer.controller.js                                           | JavaScript         |         57 |          0 |          9 |         66 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\mailer\mailer.controller.js                                       | JavaScript         |         37 |          0 |          8 |         45 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\products.controller.js                                            | JavaScript         |         51 |          0 |          9 |         60 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\services.controller.js                                            | JavaScript         |         51 |          0 |          8 |         59 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\test.controller.js                                                | JavaScript         |         49 |          0 |          7 |         56 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\controller\users.controller.js                                               | JavaScript         |         19 |          0 |          4 |         23 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\index.js                                                                     | JavaScript         |         33 |          1 |          7 |         41 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\jobs\booking.js                                                              | JavaScript         |         17 |          1 |          3 |         21 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\lib\emailLayout\emailLayout.js                                               | JavaScript         |         68 |          0 |          6 |         74 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\lib\lib.js                                                                   | JavaScript         |         16 |          0 |          4 |         20 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\middlewares\authenticateUser\authenticateUser.js                             | JavaScript         |         17 |          0 |          6 |         23 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\middlewares\validators\authValidator.js                                      | JavaScript         |         20 |          0 |          5 |         25 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\auth.model.js                                                          | JavaScript         |         30 |          0 |          8 |         38 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\booking.model.js                                                       | JavaScript         |        125 |          0 |         17 |        142 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\cart.model.js                                                          | JavaScript         |         22 |          0 |          4 |         26 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\inquiries.model.js                                                     | JavaScript         |         19 |          0 |          5 |         24 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\installer.model.js                                                     | JavaScript         |         76 |          0 |         10 |         86 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\products.model.js                                                      | JavaScript         |         42 |          0 |          9 |         51 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\services.model.js                                                      | JavaScript         |         38 |          0 |          9 |         47 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\test.model.js                                                          | JavaScript         |         16 |          0 |          5 |         21 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\model\users.model.js                                                         | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\package-lock.json                                                            | JSON               |      1,977 |          0 |          1 |      1,978 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\package.json                                                                 | JSON               |         27 |          0 |          1 |         28 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\auth.route.js                                                         | JavaScript         |          8 |          0 |          3 |         11 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\booking.route.js                                                      | JavaScript         |         18 |          1 |          4 |         23 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\cart.route.js                                                         | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\inquiries.route.js                                                    | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\installer.route.js                                                    | JavaScript         |         10 |          0 |          3 |         13 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\mailer\mailer.route.js                                                | JavaScript         |          5 |          0 |          4 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\products.route.js                                                     | JavaScript         |          9 |          0 |          3 |         12 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\services.route.js                                                     | JavaScript         |         11 |          0 |          3 |         14 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\test.route.js                                                         | JavaScript         |          9 |          0 |          3 |         12 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\server\routes\users.router.js                                                       | JavaScript         |          7 |          0 |          3 |         10 |
| Total                                                                                                                                                 |                    |     20,925 |        122 |      1,228 |     22,275 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
